id_type_voie,type_voie
0,RUE
1,AV
2,ALL
3,RTE
4,CRS
5,CHE
6,GR
7,LOT
8,
9,MAIL
10,IMP
11,RLE
12,PL
13,ESPA
14,MTE
15,BD
16,CHT
17,PTR
18,RES
19,TRA
20,REM
21,ESP
22,PROM
23,COR
24,QUAI
25,PARC
26,ILOT
27,HLM
28,VOIE
29,VALL
30,ACH
31,PTE
32,BRTL
33,PTTE
34,ESC
35,PAS
36,RPT
37,CD
38,VCHE
39,VC
40,HAM
41,MRN
42,VAL
43,CITE
44,FG
45,VLA
46,COUR
47,MAIS
48,TSSE
49,CR
50,CHEM
51,SQ
52,N
53,PASS
54,PRV
55,COTE
56,CLOS
57,RPE
58,VGE
59,DOM
60,PLAN
61,SEN
62,ZAC
63,CAMI
64,CAE
65,CHS
66,VEN
67,QUA
68,GPL
69,CASR
70,GAL
71,VTE
72,DSC
73,ART
74,ROC
75,PLA
76,CC
77,PIST
78,VIL
79,FRM